striker,total_runs,balls_faced,dismissals,strike_rate,avg
V Kohli,7273,5739,205,126.72939536504617,35.4780487804878
S Dhawan,6617,5358,189,123.49757372153789,35.01058201058201
DA Warner,6399,4719,156,135.60076287349014,41.01923076923077
RG Sharma,6213,4890,219,127.05521472392638,28.36986301369863
SK Raina,5536,4177,168,132.53531242518554,32.95238095238095
AB de Villiers,5181,3487,125,148.58044164037855,41.448
MS Dhoni,5082,3865,146,131.48771021992238,34.80821917808219
CH Gayle,4997,3516,128,142.1217292377702,39.0390625
RV Uthappa,4954,3927,184,126.15227909345556,26.92391304347826
KD Karthik,4517,3492,180,129.3528064146621,25.094444444444445
