bowler,runs_conceded,wickets,balls_bowled,overs,economy,avg
AC Gilchrist,0,1,1,0.16666666666666666,0.0,0.0
NB Singh,18,1,25,4.166666666666667,4.319999999999999,18.0
Sachin Baby,8,3,10,1.6666666666666667,4.8,2.6666666666666665
AM Rahane,5,1,6,1.0,5.0,5.0
LA Carseldine,6,1,7,1.1666666666666667,5.142857142857142,6.0
SS Mundhe,6,1,7,1.1666666666666667,5.142857142857142,6.0
DJ Thornely,40,3,44,7.333333333333333,5.454545454545455,13.333333333333334
A Badoni,12,2,13,2.1666666666666665,5.538461538461539,6.0
DA Warner,2,0,2,0.3333333333333333,6.0,
M Manhas,42,0,42,7.0,6.0,
